"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with valid email and null password","SUCCESS","2022-10-27T20:00:36.4667581+07:00[Asia/Bangkok]","0.0","112.23"
"Login","Login with null email and valid password","SUCCESS","2022-10-27T20:02:53.8978425+07:00[Asia/Bangkok]","0.0","85.2"
